timestamp,latitude,longitude,location
2025-10-07 04:50:04,51.5074,-0.1278,Home
2025-10-07 05:50:04,51.5074,-0.1278,Home
2025-10-07 06:50:04,51.5144,-0.0931,Office - Shoreditch
2025-10-07 07:50:04,51.5144,-0.0931,Office - Shoreditch
2025-10-07 08:50:04,51.5144,-0.0931,Office - Shoreditch
2025-10-07 09:50:04,51.5144,-0.0931,Office - Shoreditch
2025-10-07 10:50:04,51.5144,-0.0931,Office - Shoreditch
2025-10-07 11:50:04,51.5055,-0.0754,Borough Market
2025-10-07 12:50:04,51.5055,-0.0754,Borough Market
2025-10-07 13:50:04,51.5144,-0.0931,Office - Shoreditch
2025-10-07 14:50:04,51.5144,-0.0931,Office - Shoreditch
2025-10-07 15:50:04,51.5074,-0.1278,Home
2025-10-07 16:50:04,51.5184,-0.0751,The Ten Bells
2025-10-07 17:50:04,51.5184,-0.0751,The Ten Bells
2025-10-07 18:50:04,51.5074,-0.1278,Home
2025-10-08 04:50:04,51.5074,-0.1278,Home
2025-10-08 06:20:04,51.5166,-0.1547,Regent's Park
2025-10-08 06:50:04,51.5166,-0.1547,Regent's Park
2025-10-08 07:50:04,51.5144,-0.0931,Office - Shoreditch
2025-10-08 08:50:04,51.5144,-0.0931,Office - Shoreditch
2025-10-08 09:50:04,51.5144,-0.0931,Office - Shoreditch
2025-10-08 10:50:04,51.515,-0.0935,Pret nearby
2025-10-08 11:50:04,51.5144,-0.0931,Office - Shoreditch
2025-10-08 12:50:04,51.5144,-0.0931,Office - Shoreditch
2025-10-08 13:50:04,51.5144,-0.0931,Office - Shoreditch
2025-10-08 14:50:04,51.5144,-0.0931,Office - Shoreditch
2025-10-08 15:50:04,51.5074,-0.1278,Home
2025-10-08 17:50:04,51.5184,-0.0751,The Crown & Shuttle
2025-10-08 18:50:04,51.5184,-0.0751,The Crown & Shuttle
2025-10-08 19:50:04,51.5074,-0.1278,Home
2025-10-12 07:50:04,51.5074,-0.1278,Home
2025-10-12 08:50:04,51.5334,-0.0235,Broadway Market
2025-10-12 09:50:04,51.5334,-0.0235,Broadway Market
2025-10-12 10:50:04,51.5074,-0.1278,Home
